"ItemN" "Onset" "Determiner" "Agecat" "OldNew" "variable" "TARGETFIXBIN.m" "yT" "N_T" "elogT"
"1" 1 "Different" "A" "Four-Five" "N" "100" 0.352941176470588 6 17 -0.570544858467613
"2" 1 "Different" "A" "Four-Five" "N" "200" 0.470588235294118 8 17 -0.111225635110224
"3" 1 "Different" "A" "Four-Five" "N" "300" 0.470588235294118 8 17 -0.111225635110224
"4" 1 "Different" "A" "Four-Five" "N" "400" 0.294117647058824 5 17 -0.82098055206983
"5" 1 "Different" "A" "Four-Five" "N" "500" 0.352941176470588 6 17 -0.570544858467613
"6" 1 "Different" "A" "Four-Five" "N" "600" 0.529411764705882 9 17 0.111225635110224
"7" 1 "Different" "A" "Four-Five" "N" "700" 0.705882352941177 12 17 0.82098055206983
"8" 1 "Different" "A" "Four-Five" "N" "800" 0.941176470588235 16 17 2.39789527279837
"9" 1 "Different" "A" "Four-Five" "N" "900" 1 17 17 3.55534806148941
"10" 1 "Different" "A" "Four-Five" "N" "1000" 1 17 17 3.55534806148941
"11" 1 "Different" "A" "Four-Five" "Y" "100" 0.368421052631579 7 19 -0.510825623765991
"12" 1 "Different" "A" "Four-Five" "Y" "200" 0.421052631578947 8 19 -0.302280871872934
"13" 1 "Different" "A" "Four-Five" "Y" "300" 0.473684210526316 9 19 -0.100083458556983
"14" 1 "Different" "A" "Four-Five" "Y" "400" 0.473684210526316 9 19 -0.100083458556983
"15" 1 "Different" "A" "Four-Five" "Y" "500" 0.578947368421053 11 19 0.302280871872934
"16" 1 "Different" "A" "Four-Five" "Y" "600" 0.684210526315789 13 19 0.730887508542792
"17" 1 "Different" "A" "Four-Five" "Y" "700" 0.684210526315789 13 19 0.730887508542792
"18" 1 "Different" "A" "Four-Five" "Y" "800" 0.684210526315789 13 19 0.730887508542792
"19" 1 "Different" "A" "Four-Five" "Y" "900" 0.789473684210526 15 19 1.23676262714893
"20" 1 "Different" "A" "Four-Five" "Y" "1000" 0.789473684210526 15 19 1.23676262714893
"21" 1 "Different" "A" "Three" "N" "100" 0.473684210526316 9 19 -0.100083458556983
"22" 1 "Different" "A" "Three" "N" "200" 0.473684210526316 9 19 -0.100083458556983
"23" 1 "Different" "A" "Three" "N" "300" 0.473684210526316 9 19 -0.100083458556983
"24" 1 "Different" "A" "Three" "N" "400" 0.631578947368421 12 19 0.510825623765991
"25" 1 "Different" "A" "Three" "N" "500" 0.578947368421053 11 19 0.302280871872934
"26" 1 "Different" "A" "Three" "N" "600" 0.736842105263158 14 19 0.969400557188103
"27" 1 "Different" "A" "Three" "N" "700" 0.842105263157895 16 19 1.55059741241117
"28" 1 "Different" "A" "Three" "N" "800" 0.894736842105263 17 19 1.94591014905531
"29" 1 "Different" "A" "Three" "N" "900" 0.894736842105263 17 19 1.94591014905531
"30" 1 "Different" "A" "Three" "N" "1000" 0.894736842105263 17 19 1.94591014905531
"31" 1 "Different" "A" "Three" "Y" "100" 0.466666666666667 7 15 -0.125163142954006
"32" 1 "Different" "A" "Three" "Y" "200" 0.533333333333333 8 15 0.125163142954006
"33" 1 "Different" "A" "Three" "Y" "300" 0.533333333333333 8 15 0.125163142954006
"34" 1 "Different" "A" "Three" "Y" "400" 0.533333333333333 8 15 0.125163142954006
"35" 1 "Different" "A" "Three" "Y" "500" 0.533333333333333 8 15 0.125163142954006
"36" 1 "Different" "A" "Three" "Y" "600" 0.533333333333333 8 15 0.125163142954006
"37" 1 "Different" "A" "Three" "Y" "700" 0.6 9 15 0.379489621704904
"38" 1 "Different" "A" "Three" "Y" "800" 0.733333333333333 11 15 0.93826963859293
"39" 1 "Different" "A" "Three" "Y" "900" 0.8 12 15 1.27296567581289
"40" 1 "Different" "A" "Three" "Y" "1000" 0.8 12 15 1.27296567581289
"41" 1 "Same" "A" "Four-Five" "N" "100" 0.333333333333333 6 18 -0.653926467406664
"42" 1 "Same" "A" "Four-Five" "N" "200" 0.388888888888889 7 18 -0.42744401482694
"43" 1 "Same" "A" "Four-Five" "N" "300" 0.444444444444444 8 18 -0.211309093667207
"44" 1 "Same" "A" "Four-Five" "N" "400" 0.5 9 18 0
"45" 1 "Same" "A" "Four-Five" "N" "500" 0.444444444444444 8 18 -0.211309093667207
"46" 1 "Same" "A" "Four-Five" "N" "600" 0.444444444444444 8 18 -0.211309093667207
"47" 1 "Same" "A" "Four-Five" "N" "700" 0.666666666666667 12 18 0.653926467406664
"48" 1 "Same" "A" "Four-Five" "N" "800" 0.888888888888889 16 18 1.88706964903238
"49" 1 "Same" "A" "Four-Five" "N" "900" 0.944444444444444 17 18 2.4567357728213
"50" 1 "Same" "A" "Four-Five" "N" "1000" 1 18 18 3.61091791264422
"51" 1 "Same" "A" "Four-Five" "Y" "100" 0.470588235294118 8 17 -0.111225635110224
"52" 1 "Same" "A" "Four-Five" "Y" "200" 0.470588235294118 8 17 -0.111225635110224
"53" 1 "Same" "A" "Four-Five" "Y" "300" 0.470588235294118 8 17 -0.111225635110224
"54" 1 "Same" "A" "Four-Five" "Y" "400" 0.647058823529412 11 17 0.570544858467613
"55" 1 "Same" "A" "Four-Five" "Y" "500" 0.705882352941177 12 17 0.82098055206983
"56" 1 "Same" "A" "Four-Five" "Y" "600" 0.588235294117647 10 17 0.336472236621213
"57" 1 "Same" "A" "Four-Five" "Y" "700" 0.764705882352941 13 17 1.09861228866811
"58" 1 "Same" "A" "Four-Five" "Y" "800" 0.764705882352941 13 17 1.09861228866811
"59" 1 "Same" "A" "Four-Five" "Y" "900" 0.705882352941177 12 17 0.82098055206983
"60" 1 "Same" "A" "Four-Five" "Y" "1000" 0.705882352941177 12 17 0.82098055206983
"61" 1 "Same" "A" "Three" "N" "100" 0.35 7 20 -0.587786664902119
"62" 1 "Same" "A" "Three" "N" "200" 0.4 8 20 -0.385662480811985
"63" 1 "Same" "A" "Three" "N" "300" 0.35 7 20 -0.587786664902119
"64" 1 "Same" "A" "Three" "N" "400" 0.35 7 20 -0.587786664902119
"65" 1 "Same" "A" "Three" "N" "500" 0.4 8 20 -0.385662480811985
"66" 1 "Same" "A" "Three" "N" "600" 0.4 8 20 -0.385662480811985
"67" 1 "Same" "A" "Three" "N" "700" 0.55 11 20 0.191055236762709
"68" 1 "Same" "A" "Three" "N" "800" 0.7 14 20 0.802346472524937
"69" 1 "Same" "A" "Three" "N" "900" 0.85 17 20 1.6094379124341
"70" 1 "Same" "A" "Three" "N" "1000" 0.85 17 20 1.6094379124341
"71" 1 "Same" "A" "Three" "Y" "100" 0.5 9 18 0
"72" 1 "Same" "A" "Three" "Y" "200" 0.611111111111111 11 18 0.42744401482694
"73" 1 "Same" "A" "Three" "Y" "300" 0.555555555555556 10 18 0.211309093667207
"74" 1 "Same" "A" "Three" "Y" "400" 0.5 9 18 0
"75" 1 "Same" "A" "Three" "Y" "500" 0.5 9 18 0
"76" 1 "Same" "A" "Three" "Y" "600" 0.5 9 18 0
"77" 1 "Same" "A" "Three" "Y" "700" 0.722222222222222 13 18 0.897941593205959
"78" 1 "Same" "A" "Three" "Y" "800" 0.722222222222222 13 18 0.897941593205959
"79" 1 "Same" "A" "Three" "Y" "900" 0.777777777777778 14 18 1.17007125265025
"80" 1 "Same" "A" "Three" "Y" "1000" 0.722222222222222 13 18 0.897941593205959
"81" 2 "Different" "A" "Four-Five" "N" "100" 0.333333333333333 6 18 -0.653926467406664
"82" 2 "Different" "A" "Four-Five" "N" "200" 0.388888888888889 7 18 -0.42744401482694
"83" 2 "Different" "A" "Four-Five" "N" "300" 0.5 9 18 0
"84" 2 "Different" "A" "Four-Five" "N" "400" 0.5 9 18 0
"85" 2 "Different" "A" "Four-Five" "N" "500" 0.555555555555556 10 18 0.211309093667207
"86" 2 "Different" "A" "Four-Five" "N" "600" 0.388888888888889 7 18 -0.42744401482694
"87" 2 "Different" "A" "Four-Five" "N" "700" 0.722222222222222 13 18 0.897941593205959
"88" 2 "Different" "A" "Four-Five" "N" "800" 0.833333333333333 15 18 1.48807705542983
"89" 2 "Different" "A" "Four-Five" "N" "900" 0.833333333333333 15 18 1.48807705542983
"90" 2 "Different" "A" "Four-Five" "N" "1000" 0.888888888888889 16 18 1.88706964903238
"91" 2 "Different" "A" "Four-Five" "Y" "100" 0.526315789473684 10 19 0.100083458556983
"92" 2 "Different" "A" "Four-Five" "Y" "200" 0.526315789473684 10 19 0.100083458556983
"93" 2 "Different" "A" "Four-Five" "Y" "300" 0.578947368421053 11 19 0.302280871872934
"94" 2 "Different" "A" "Four-Five" "Y" "400" 0.526315789473684 10 19 0.100083458556983
"95" 2 "Different" "A" "Four-Five" "Y" "500" 0.526315789473684 10 19 0.100083458556983
"96" 2 "Different" "A" "Four-Five" "Y" "600" 0.631578947368421 12 19 0.510825623765991
"97" 2 "Different" "A" "Four-Five" "Y" "700" 0.684210526315789 13 19 0.730887508542792
"98" 2 "Different" "A" "Four-Five" "Y" "800" 0.789473684210526 15 19 1.23676262714893
"99" 2 "Different" "A" "Four-Five" "Y" "900" 0.947368421052632 18 19 2.51230562397611
"100" 2 "Different" "A" "Four-Five" "Y" "1000" 0.894736842105263 17 19 1.94591014905531
"101" 2 "Different" "A" "Three" "N" "100" 0.315789473684211 6 19 -0.730887508542792
"102" 2 "Different" "A" "Three" "N" "200" 0.368421052631579 7 19 -0.510825623765991
"103" 2 "Different" "A" "Three" "N" "300" 0.421052631578947 8 19 -0.302280871872934
"104" 2 "Different" "A" "Three" "N" "400" 0.421052631578947 8 19 -0.302280871872934
"105" 2 "Different" "A" "Three" "N" "500" 0.421052631578947 8 19 -0.302280871872934
"106" 2 "Different" "A" "Three" "N" "600" 0.736842105263158 14 19 0.969400557188103
"107" 2 "Different" "A" "Three" "N" "700" 0.684210526315789 13 19 0.730887508542792
"108" 2 "Different" "A" "Three" "N" "800" 0.789473684210526 15 19 1.23676262714893
"109" 2 "Different" "A" "Three" "N" "900" 0.842105263157895 16 19 1.55059741241117
"110" 2 "Different" "A" "Three" "N" "1000" 0.947368421052632 18 19 2.51230562397611
"111" 2 "Different" "A" "Three" "Y" "100" 0.294117647058824 5 17 -0.82098055206983
"112" 2 "Different" "A" "Three" "Y" "200" 0.470588235294118 8 17 -0.111225635110224
"113" 2 "Different" "A" "Three" "Y" "300" 0.470588235294118 8 17 -0.111225635110224
