"Participant" "Onset" "Determiner" "Agecat" "Age" "OldNew" "variable" "TARGETFIXBIN.m" "yT" "N_T" "elogT"
"1" "P013yo" "Different" "A" "Three" 47 "N" "100" 0.8 4 5 1.09861228866811
"2" "P013yo" "Different" "A" "Three" 47 "N" "200" 0.8 4 5 1.09861228866811
"3" "P013yo" "Different" "A" "Three" 47 "N" "300" 0.8 4 5 1.09861228866811
"4" "P013yo" "Different" "A" "Three" 47 "N" "400" 1 5 5 2.39789527279837
"5" "P013yo" "Different" "A" "Three" 47 "N" "500" 1 5 5 2.39789527279837
"6" "P013yo" "Different" "A" "Three" 47 "N" "600" 1 5 5 2.39789527279837
"7" "P013yo" "Different" "A" "Three" 47 "N" "700" 1 5 5 2.39789527279837
"8" "P013yo" "Different" "A" "Three" 47 "N" "800" 1 5 5 2.39789527279837
"9" "P013yo" "Different" "A" "Three" 47 "N" "900" 1 5 5 2.39789527279837
"10" "P013yo" "Different" "A" "Three" 47 "N" "1000" 1 5 5 2.39789527279837
"11" "P013yo" "Different" "A" "Three" 47 "Y" "100" 0.2 1 5 -1.09861228866811
"12" "P013yo" "Different" "A" "Three" 47 "Y" "200" 0.2 1 5 -1.09861228866811
"13" "P013yo" "Different" "A" "Three" 47 "Y" "300" 0.4 2 5 -0.336472236621213
"14" "P013yo" "Different" "A" "Three" 47 "Y" "400" 0.4 2 5 -0.336472236621213
"15" "P013yo" "Different" "A" "Three" 47 "Y" "500" 0.4 2 5 -0.336472236621213
"16" "P013yo" "Different" "A" "Three" 47 "Y" "600" 0.6 3 5 0.336472236621213
"17" "P013yo" "Different" "A" "Three" 47 "Y" "700" 0.8 4 5 1.09861228866811
"18" "P013yo" "Different" "A" "Three" 47 "Y" "800" 0.8 4 5 1.09861228866811
"19" "P013yo" "Different" "A" "Three" 47 "Y" "900" 0.8 4 5 1.09861228866811
"20" "P013yo" "Different" "A" "Three" 47 "Y" "1000" 0.8 4 5 1.09861228866811
"21" "P013yo" "Different" "AN" "Three" 47 "N" "100" 0.6 3 5 0.336472236621213
"22" "P013yo" "Different" "AN" "Three" 47 "N" "200" 0.6 3 5 0.336472236621213
"23" "P013yo" "Different" "AN" "Three" 47 "N" "300" 0.8 4 5 1.09861228866811
"24" "P013yo" "Different" "AN" "Three" 47 "N" "400" 0.8 4 5 1.09861228866811
"25" "P013yo" "Different" "AN" "Three" 47 "N" "500" 1 5 5 2.39789527279837
"26" "P013yo" "Different" "AN" "Three" 47 "N" "600" 0.6 3 5 0.336472236621213
"27" "P013yo" "Different" "AN" "Three" 47 "N" "700" 0.6 3 5 0.336472236621213
"28" "P013yo" "Different" "AN" "Three" 47 "N" "800" 0.8 4 5 1.09861228866811
"29" "P013yo" "Different" "AN" "Three" 47 "N" "900" 0.8 4 5 1.09861228866811
"30" "P013yo" "Different" "AN" "Three" 47 "N" "1000" 0.8 4 5 1.09861228866811
"31" "P013yo" "Different" "AN" "Three" 47 "Y" "100" 0.8 4 5 1.09861228866811
"32" "P013yo" "Different" "AN" "Three" 47 "Y" "200" 0.8 4 5 1.09861228866811
"33" "P013yo" "Different" "AN" "Three" 47 "Y" "300" 0.6 3 5 0.336472236621213
"34" "P013yo" "Different" "AN" "Three" 47 "Y" "400" 0.6 3 5 0.336472236621213
"35" "P013yo" "Different" "AN" "Three" 47 "Y" "500" 0.6 3 5 0.336472236621213
"36" "P013yo" "Different" "AN" "Three" 47 "Y" "600" 0.6 3 5 0.336472236621213
"37" "P013yo" "Different" "AN" "Three" 47 "Y" "700" 0.6 3 5 0.336472236621213
"38" "P013yo" "Different" "AN" "Three" 47 "Y" "800" 0.6 3 5 0.336472236621213
"39" "P013yo" "Different" "AN" "Three" 47 "Y" "900" 0.8 4 5 1.09861228866811
"40" "P013yo" "Different" "AN" "Three" 47 "Y" "1000" 0.8 4 5 1.09861228866811
"41" "P013yo" "Same" "A" "Three" 47 "N" "100" 0.6 3 5 0.336472236621213
"42" "P013yo" "Same" "A" "Three" 47 "N" "200" 0.8 4 5 1.09861228866811
"43" "P013yo" "Same" "A" "Three" 47 "N" "300" 0.6 3 5 0.336472236621213
"44" "P013yo" "Same" "A" "Three" 47 "N" "400" 0.6 3 5 0.336472236621213
"45" "P013yo" "Same" "A" "Three" 47 "N" "500" 0.6 3 5 0.336472236621213
"46" "P013yo" "Same" "A" "Three" 47 "N" "600" 0.4 2 5 -0.336472236621213
"47" "P013yo" "Same" "A" "Three" 47 "N" "700" 0.2 1 5 -1.09861228866811
"48" "P013yo" "Same" "A" "Three" 47 "N" "800" 0.6 3 5 0.336472236621213
"49" "P013yo" "Same" "A" "Three" 47 "N" "900" 0.8 4 5 1.09861228866811
"50" "P013yo" "Same" "A" "Three" 47 "N" "1000" 1 5 5 2.39789527279837
"51" "P013yo" "Same" "A" "Three" 47 "Y" "100" 0.5 2 4 0
"52" "P013yo" "Same" "A" "Three" 47 "Y" "200" 0.5 2 4 0
"53" "P013yo" "Same" "A" "Three" 47 "Y" "300" 0.5 2 4 0
"54" "P013yo" "Same" "A" "Three" 47 "Y" "400" 0.5 2 4 0
"55" "P013yo" "Same" "A" "Three" 47 "Y" "500" 0.5 2 4 0
"56" "P013yo" "Same" "A" "Three" 47 "Y" "600" 0.75 3 4 0.847297860387204
"57" "P013yo" "Same" "A" "Three" 47 "Y" "700" 0.75 3 4 0.847297860387204
"58" "P013yo" "Same" "A" "Three" 47 "Y" "800" 0.75 3 4 0.847297860387204
"59" "P013yo" "Same" "A" "Three" 47 "Y" "900" 1 4 4 2.19722457733622
"60" "P013yo" "Same" "A" "Three" 47 "Y" "1000" 1 4 4 2.19722457733622
"61" "P013yo" "Same" "AN" "Three" 47 "N" "100" 0.4 2 5 -0.336472236621213
"62" "P013yo" "Same" "AN" "Three" 47 "N" "200" 0.4 2 5 -0.336472236621213
"63" "P013yo" "Same" "AN" "Three" 47 "N" "300" 0.4 2 5 -0.336472236621213
"64" "P013yo" "Same" "AN" "Three" 47 "N" "400" 0.6 3 5 0.336472236621213
"65" "P013yo" "Same" "AN" "Three" 47 "N" "500" 0.6 3 5 0.336472236621213
